sample-id,habitat,irrigation,drought_tolerance,marker_gene
S-1016-1-14-3-bulksoil,soil,full,HI30,16S
S-1016-2-16-75-bulksoil,soil,full,HI30,16S
S-1016-3-6-42-bulksoil,soil,reduced,HI30,16S
S-1016-4-21-30-bulksoil,soil,reduced,HI30,16S
S-1024-1-12-41-bulksoil,soil,full,LO30,16S
S-1024-2-7-47-bulksoil,soil,full,LO30,16S
S-1024-3-6-28-bulksoil,soil,reduced,LO30,16S
S-1024-4-17-37-bulksoil,soil,reduced,LO30,16S
S-1036-1-15-46-bulksoil,soil,full,HI30,16S
S-1036-2-5-50-bulksoil,soil,full,HI30,16S
S-1036-3-6-23-bulksoil,soil,reduced,HI30,16S
S-1036-4-17-36-bulksoil,soil,reduced,HI30,16S
S-1171-1-9-28-bulksoil,soil,full,LO30,16S
S-1171-2-9-48-bulksoil,soil,full,LO30,16S
S-1171-3-10-11-bulksoil,soil,reduced,LO30,16S
S-1171-4-24-11-bulksoil,soil,reduced,LO30,16S
S-207-1-22-14-bulksoil,soil,full,LO30,16S
S-207-2-20-49-bulksoil,soil,full,LO30,16S
S-207-3-8-36-bulksoil,soil,reduced,LO30,16S
S-207-4-24-26-bulksoil,soil,reduced,LO30,16S
S-368-1-18-24-bulksoil,soil,full,LO30,16S
S-368-2-20-50-bulksoil,soil,full,LO30,16S
S-368-3-11-19-bulksoil,soil,reduced,LO30,16S
S-368-4-24-29-bulksoil,soil,reduced,LO30,16S
S-422-1-23-44-bulksoil,soil,full,HI30,16S
S-422-2-24-78-bulksoil,soil,full,HI30,16S
S-422-3-11-6-bulksoil,soil,reduced,HI30,16S
S-422-4-24-12-bulksoil,soil,reduced,HI30,16S
S-56-1-9-13-bulksoil,soil,full,HI30,16S
S-56-2-8-73-bulksoil,soil,full,HI30,16S
S-56-3-8-6-bulksoil,soil,reduced,HI30,16S
S-56-4-25-9-bulksoil,soil,reduced,HI30,16S
S-819-1-22-16-bulksoil,soil,full,HI30,16S
S-819-2-23-73-bulksoil,soil,full,HI30,16S
S-819-3-8-27-bulksoil,soil,reduced,HI30,16S
S-819-4-24-42-bulksoil,soil,reduced,HI30,16S
S-GW9577-1-16-38-bulksoil,soil,full,HI30,16S
S-GW9577-2-21-66-bulksoil,soil,full,HI30,16S
S-GW9577-3-8-46-bulksoil,soil,reduced,HI30,16S
S-GW9577-4-23-5-bulksoil,soil,reduced,HI30,16S
S-GW9583-1-17-20-bulksoil,soil,full,LO30,16S
S-GW9583-2-22-88-bulksoil,soil,full,LO30,16S
S-GW9583-3-5-37-bulksoil,soil,reduced,LO30,16S
S-GW9583-4-24-30-bulksoil,soil,reduced,LO30,16S
S-GW9589-1-16-11-bulksoil,soil,full,HI30,16S
S-GW9589-2-11-71-bulksoil,soil,full,HI30,16S
S-GW9589-3-5-9-bulksoil,soil,reduced,HI30,16S
S-GW9589-4-21-7-bulksoil,soil,reduced,HI30,16S
S-GW9861-1-14-4-bulksoil,soil,full,HI30,16S
S-GW9861-2-14-80-bulksoil,soil,full,HI30,16S
S-GW9861-4-15-8-bulksoil,soil,reduced,HI30,16S
S-GW9861-4-17-18-bulksoil,soil,reduced,HI30,16S
S-GW9950-1-5-46-bulksoil,soil,full,LO30,16S
S-GW9950-2-9-54-bulksoil,soil,full,LO30,16S
S-GW9950-3-10-21-bulksoil,soil,reduced,LO30,16S
