"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence","OTU"
"0008d8b083042ca29ace558fe3840fed","Fungi","Chytridiomycota","unidentified","unidentified","unidentified","unidentified","unidentified","0.8860809","0008d8b083042ca29ace558fe3840fed"
"00133e612bfa794a439e34b9a0f99988","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8447936","00133e612bfa794a439e34b9a0f99988"
"0016380ec7ace7724205c9fc70fb30df","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","0016380ec7ace7724205c9fc70fb30df"
"00198b9ed63c841bf4130f614b4e044a","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Verticillium",NA,"1.0000000","00198b9ed63c841bf4130f614b4e044a"
"0019ce0de0bbd3440437e1071cd9d544","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.7145320","0019ce0de0bbd3440437e1071cd9d544"
"001a89a493296be0654aa917509df3ba","Fungi","Rozellomycota","Rozellomycotina_cls_Incertae_sedis","GS08","unidentified","unidentified","unidentified","0.9860962","001a89a493296be0654aa917509df3ba"
"001f18c0622ce51cf92493625ad39367","Fungi","Basidiomycota","Tremellomycetes","unidentified","unidentified","unidentified","unidentified","0.9419884","001f18c0622ce51cf92493625ad39367"
"0020feffc2bf42443932f9a4a0d47f0e","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","0020feffc2bf42443932f9a4a0d47f0e"
"0026469361e47a05a740352addf8a88f","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8184624","0026469361e47a05a740352addf8a88f"
"0026ec499d1c31acbd890c491702a5f4","Fungi","unidentified",NA,NA,NA,NA,NA,"1.0000000","0026ec499d1c31acbd890c491702a5f4"
"00340d3e4923fcbcf43e9a934211e04b","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Typhulaceae","Typhula",NA,"0.9855911","00340d3e4923fcbcf43e9a934211e04b"
"0034ebcef756b84be5a1b43f0d90ad92","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8454256","0034ebcef756b84be5a1b43f0d90ad92"
"003acc81980acd55f10c5421d59ba056","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_canescens","0.7181464","003acc81980acd55f10c5421d59ba056"
"003bb4cd6403774ab3403b1648eedb05","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8160705","003bb4cd6403774ab3403b1648eedb05"
"004147ba82be4dc9677744b125dc5c5d","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8122457","004147ba82be4dc9677744b125dc5c5d"
"004a83ae2fe3569f16f6454f614e9748","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.8900413","004a83ae2fe3569f16f6454f614e9748"
"004bbf8884e74fc5f2cd6bc710df0e32","Fungi","Olpidiomycota","Olpidiomycetes","Olpidiales","Olpidiaceae","Olpidium","Olpidium_brassicae","1.0000000","004bbf8884e74fc5f2cd6bc710df0e32"
"004fede36247dd4d025c1be6eda40e99","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","0.7242534","004fede36247dd4d025c1be6eda40e99"
